CUSTOMER_DIM_ID,CUSTOMER_ID,Customer Name,CUSTOMER_LOGIN_ID,CUSTOMER_STREET_ADDRESS,CUSTOMER_CITY,CUSTOMER_STATE,CUSTOMER_ZIP,CUSTOMER_PHONE_NO
47,100060,Vielka Rivers,5060,Ap #896-3479 Gravida Street,BOSTON,MASSAACHUSETTS,62030,068-761-3728
48,100014,Rylee Workman,5014,Ap #159-5761 Est. Rd.,AUSTIN,TEXAS,55053,076-939-8670
49,100052,Oprah Chaney,5052,1322 Tellus. Road,COLOUMBS,OHIO,76385,006-309-1285
50,100008,David Frost,5008,Ap #858-6674 Mauris Avenue ,COLUMBUS,OHIO,62070,088-142-7143
51,100089,Clark Powell,5089,3387 Tincidunt Rd.,HOUSTON,TEXAS,69538,090-125-1889
52,100059,Katelyn Garrison,5059,"P.O. Box 455, 3733 Eu, St.",LOS ANGELES,CALIFORNIA,80289,078-199-9828
53,100042,Leroy Pugh,5042,6658 Venenatis Rd.,AUSTIN,TEXAS,63417,050-412-9084
54,100044,Josiah Haynes,5044,"8730 Placerat, Av.",SAN DIEGO,CALIFORNIA,57183,026-354-2203
55,100068,Tana Blevins,5068,Ap #364-8638 Et Street,BOSTON,MASSAACHUSETTS,91583,081-828-4143
56,100061,Brett Harper,5061,723-7065 Ullamcorper. Street,SAN ANTONIO,TEXAS,61856,027-390-6715
57,100019,Gary Burt,5019,Ap #960-123 Massa. Road,SAN ANTONIO,TEXAS,76166,022-612-8382
58,100025,Debra Mcpherson,5025,"P.O.Box 469,4179 Penatibus St.",SAN DIEGO,California,86091,031-563-9227
59,100050,Shelley Brown,5050,895-9733 Lorem. St.,CHICAGO,ILLINOIS,56388,042-101-1645
60,100071,Elton Bright,5071,Ap #383-1238 Nunc Street,HOUSTON,TEXAS,58770,074-866-7560
61,100054,Athena Perry,5054,"P.O.BOX 464, 5139 Amet, Ave",Los Angeles,California,53572,024-044-3201
62,100100,Will Smith,5100,"P.O. Box 937, 5168 Etiam Street",DALLAS,TEXAS,85469,045-568-5206
63,100053,Garth Kirby,5053,906-7394 Suspendisse Avenue,DALLAS,TEXAS,61893,088-651-9741
64,100093,Idola Pennington,5093,3954 Nisi. Av.,SAN ANTONIO,TEXAS,94401,058-308-1663
65,100088,Gisela Mayer,5088,"P.O. Box 321, 4809 Mauris St.",SAN DIEGO,CALIFORNIA,60330,023-479-2802
66,100006,Alvin Burns,5006,111-9434 Molesite St.,PHOENIX,ARIZONA,91516,019-591-7578
67,100027,Hedy Buchanan,5027,605-4730 Magna Ave,LOS ANGELES,CALIFORNIA,75512,043-992-7132
68,100087,Lawrence Salinas,5087,"P.O. Box 937, 5168 Etiam Street",DALLAS,TEXAS,91557,021-550-0611
69,100047,Stewart Travis,5047,5144 Proin Rd.,SAN FRANSISCO,CALIFORNIA,96353,023-634-6938
70,100023,Anastasia Johns,5023,6998 ET Ave,PHOENIX,ARIZONA,90836,058-063-0929
71,100013,Demetrius Gross,5013,"P.O. Box 570, 3979 Gravida Street",WASHINGTON,DISTRICT OF COLUMBIA,88537,066-811-4849
72,100069,Joseph Mitchell,5069,3529 Faucibus Rd.,SAN DIEGO,CALIFORNIA,79245,017-557-0305
73,100049,Maris Howard,5049,Ap #588-9785 Quis St.,WASHINGTON,DISTRICT OF COLUMBIA,83979,050-538-9002
74,100028,Luke Vazquez,5028,Ap #909-745 Felis. Street,BOSTON,MASSAACHUSETTS,63256,018-647-2026
75,100081,Rhea Lloyd,5081,"P.O. Box 575, 6920 Molestie Road",SAN FRANSISCO,CALIFORNIA,70881,042-947-7633
76,100018,Kelsie Collins,5018,Ap #118-8592 Pellentesque St.,AUSTIN,TEXAS,61745,085-816-7013
77,100048,Steel Reese,5048,379-7440 Ultrices Rd.,COLOUMBS,OHIO,74475,083-387-4609
78,100099,Johny Depp,5099,7967 Lobortis. Street,NEW YORK,NEWYORK,81546,025-784-9658
79,100075,Libby Dyer,5075,155-2696 Dapibus Road,CHICAGO,ILLINOIS,54894,057-697-0776
80,100017,Ifeoma Hale,5017,731-1762 Cursus Street,COLOUMBS,OHIO,89417,017-496-6582
81,100001,Ulla Horn,5001,Ap #151-1091 Mi Av.,SAN FRANSISCO,CALIFORNIA,86582,012-415-2632
82,100094,Claudia Carter,5094,824-949412 Nascetur Rd.,BOSTON,MASSAACHUSETTS,53642,010-964-8851
83,100039,Jacob Clark,5039,"P.O. Box 564, 8404 Aliquam, Avenue",SAN ANTONIO,TEXAS,64520,005-679-1317
84,100026,Scarlett Chambers,5026,Ap #707-4072 Tristique Street,CHICAGO,ILLINOIS,97349,044-587-7998
85,100070,Igor Lucas,5070,Ap #771-8025 Luctus Street,CHICAGO,ILLINOIS,84677,069-893-2068
86,100064,Silas Figueroa,5064,"P.O. Box 594, 210 Lectus St.",NEW YORK,NEWYORK,69363,095-255-5040
87,100079,Echo Spence,5079,695-9651 Augue Ave,SAN ANTONIO,TEXAS,53631,003-026-4725
88,100076,Brennan Sweet,5076,Ap #588-2817 Orci. Av.,AUSTIN,TEXAS,68613,096-342-9104
89,100062,Christian Blackwell,5062,"P.O. Box 661, 1236 Sed Rd.",HOUSTON,TEXAS,84741,026-477-5940
90,100095,Harlan Zamora,5095,166-3018 Nascetur Rd.,AUSTIN,TEXAS,89725,020-852-4880
91,100011,Odette Patrick,5011,9357 Vivamus Ave,AUSTIN,TEXAS,63397,097-127-9336
92,100096,Gabriel Shields,5096,178-8027 Odio Street,WASHINGTON,DISTRICT OF COLUMBIA,53152,062-491-7871
93,100035,Sean Sargent,5035,Ap #164-1427 Amet St.,LOS ANGELES,CALIFORNIA,82007,042-689-5507
94,100067,Hillary Little,5067,"P.O. Box 177, 2809 Risus Ave", SAN JOSE,CALIFORNIA,71838,056-163-6019
95,100046,Orlando Richmond,5046,5633 Cursus. Av.,LOS ANGELES,CALIFORNIA,64240,092-339-0837
96,100009,Stacy Shaffer,5009,Ap #408-9193 Tempor Avenue,PHOENIX,ARIZONA,72958,045-539-2728
97,100077,Erich Cole,5077,7904 In Rd.,PHILADELPHIA,PENNSYLVANIA,86203,043-092-8286
98,100086,Tarik Taylor,5086,Ap #714-1849 Mauris Road,SAN FRANSISCO,CALIFORNIA,89339,035-181-5155
99,100092,Joshua Pratt,5092,Ap #372-3261 Tempus Rd.,DALLAS,TEXAS,73541,051-554-5149
100,100051,Montana Short,5051,8208 Purus. Rd.,NEW YORK,NEWYORK,74851,006-732-0898
101,100007,Colleen Church,5007,"6047 Felis, Av.",SAN JOSE,California,75165,002-509-8665
